ALCOHOLTIME,POLICE_ATTEND,SPEED_ZONE,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,LONGITUDE,LATITUDE,class
0.0,0.0,80.0,0.0,0.0,1.0,4.0,3.0,2.0,144.81953,-37.7633,3
0.0,0.0,70.0,0.0,0.0,1.0,1.0,1.0,1.0,145.06536,-38.23874,0
0.0,0.0,80.0,0.0,0.0,1.0,2.0,1.0,2.0,144.37684,-38.06878,3
0.0,0.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,145.32025,-38.19597,3
0.0,0.0,60.0,0.0,1.0,0.0,1.0,1.0,0.0,146.54121,-38.19648,4
0.0,0.0,100.0,0.0,0.0,1.0,2.0,0.0,3.0,146.50281,-38.24326,1
0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,142.66373,-38.35071,1
0.0,0.0,80.0,0.0,0.0,1.0,1.0,2.0,0.0,145.6412,-37.59132,3
0.0,0.0,60.0,0.0,1.0,0.0,0.0,1.0,0.0,145.51037,-37.90114,4
0.0,0.0,100.0,0.0,0.0,1.0,2.0,1.0,2.0,144.01058,-38.09498,1
0.0,0.0,100.0,1.0,1.0,1.0,0.0,2.0,1.0,145.34426,-36.22069,1
0.0,0.0,60.0,0.0,0.0,3.0,1.0,2.0,2.0,145.82746,-38.43706,4
0.0,0.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,144.97939,-37.41308,2
0.0,0.0,80.0,0.0,0.0,2.0,1.0,2.0,1.0,144.82475,-37.70964,3
0.0,0.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,145.40581,-37.92037,3
0.0,0.0,70.0,0.0,0.0,1.0,0.0,1.0,0.0,144.33972,-38.20938,0
0.0,0.0,100.0,0.0,1.0,0.0,2.0,2.0,1.0,142.29918,-36.78694,1
0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,143.70813,-37.13909,1
0.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,1.0,145.1035,-37.78932,1
0.0,0.0,100.0,0.0,0.0,2.0,2.0,2.0,2.0,145.07233,-37.78314,1
0.0,0.0,60.0,0.0,0.0,1.0,2.0,1.0,2.0,142.9226,-37.27355,4
0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,146.40456,-38.1867,1
0.0,0.0,60.0,0.0,0.0,2.0,0.0,0.0,2.0,142.77618,-37.05737,4
0.0,0.0,80.0,0.0,1.0,0.0,2.0,2.0,1.0,144.39052,-38.17022,3
0.0,0.0,60.0,0.0,0.0,1.0,3.0,1.0,3.0,144.8882,-38.3981,4
0.0,0.0,100.0,0.0,0.0,1.0,1.0,2.0,0.0,145.26618,-37.99557,1
0.0,0.0,110.0,0.0,2.0,0.0,2.0,2.0,2.0,146.79077,-36.082,5
0.0,0.0,60.0,0.0,0.0,2.0,1.0,0.0,3.0,144.90924,-38.35458,4
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,142.1595,-37.36942,1
0.0,0.0,60.0,0.0,0.0,1.0,1.0,0.0,2.0,143.84786,-37.55856,4
0.0,0.0,100.0,0.0,0.0,2.0,0.0,1.0,1.0,144.78196,-37.84629,1
0.0,0.0,60.0,0.0,1.0,0.0,0.0,0.0,1.0,144.96361,-37.82681,4
0.0,0.0,80.0,0.0,1.0,1.0,0.0,2.0,0.0,145.4328,-37.93103,3
0.0,0.0,60.0,0.0,1.0,0.0,0.0,1.0,0.0,142.85668,-37.15331,4
0.0,0.0,110.0,0.0,1.0,0.0,0.0,1.0,0.0,146.27428,-38.18266,5
0.0,0.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,145.04236,-38.2256,2
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,146.55504,-36.40041,1
0.0,0.0,80.0,0.0,0.0,1.0,4.0,3.0,2.0,145.21632,-37.81326,3
0.0,0.0,60.0,0.0,1.0,0.0,3.0,4.0,0.0,144.67742,-37.90981,4
0.0,0.0,80.0,0.0,0.0,1.0,2.0,1.0,2.0,145.23307,-37.92801,3
0.0,0.0,70.0,0.0,0.0,1.0,1.0,1.0,1.0,144.68237,-37.8807,0
0.0,0.0,60.0,0.0,0.0,2.0,0.0,1.0,1.0,144.80075,-37.63029,4
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,143.26418,-38.58986,1
0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,144.12114,-36.81647,1
0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,145.83981,-38.56566,1
0.0,0.0,100.0,0.0,0.0,1.0,1.0,2.0,0.0,147.55938,-37.84923,1
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,147.29647,-36.05308,1
0.0,0.0,100.0,0.0,0.0,1.0,6.0,3.0,4.0,145.2451,-37.98183,1
0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,146.73305,-38.01983,1
0.0,0.0,100.0,0.0,2.0,0.0,1.0,1.0,2.0,142.05428,-36.44561,1
0.0,0.0,60.0,0.0,0.0,1.0,3.0,2.0,1.0,145.05256,-37.85168,4
0.0,0.0,60.0,0.0,0.0,1.0,2.0,1.0,2.0,143.74189,-37.04791,4
0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,144.36735,-37.89344,1
0.0,0.0,80.0,0.0,0.0,2.0,1.0,0.0,2.0,145.48957,-38.07208,3
0.0,0.0,60.0,0.0,0.0,1.0,1.0,1.0,1.0,146.30778,-36.37663,4
0.0,0.0,80.0,0.0,0.0,1.0,1.0,0.0,2.0,144.91526,-37.69467,3
0.0,0.0,90.0,0.0,1.0,0.0,3.0,2.0,2.0,144.89087,-38.37612,7
0.0,0.0,80.0,0.0,2.0,0.0,3.0,2.0,3.0,145.19139,-38.00116,3
0.0,0.0,50.0,0.0,0.0,3.0,0.0,1.0,2.0,144.28523,-36.7564,2
0.0,0.0,80.0,0.0,0.0,1.0,2.0,3.0,0.0,144.8083,-37.81525,3
0.0,0.0,80.0,0.0,1.0,0.0,2.0,3.0,0.0,145.24412,-38.05437,3
0.0,0.0,60.0,0.0,0.0,1.0,2.0,1.0,2.0,144.28742,-36.75834,4
0.0,0.0,70.0,0.0,0.0,1.0,2.0,2.0,1.0,144.88149,-37.63478,0
0.0,0.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,144.68952,-37.57625,2
0.0,0.0,60.0,0.0,0.0,1.0,1.0,1.0,1.0,144.35411,-38.1617,4
0.0,0.0,80.0,0.0,3.0,0.0,0.0,1.0,2.0,144.27222,-38.08725,3
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,146.69658,-38.16791,1
0.0,0.0,80.0,0.0,0.0,1.0,1.0,1.0,1.0,144.921,-37.69443,3
0.0,0.0,60.0,0.0,0.0,1.0,1.0,1.0,1.0,145.17571,-38.22389,4
0.0,0.0,60.0,0.0,0.0,1.0,2.0,2.0,1.0,145.34015,-38.05069,4
0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,145.06393,-36.59811,1
0.0,0.0,80.0,0.0,0.0,1.0,1.0,1.0,1.0,145.49685,-38.06811,3
0.0,0.0,60.0,0.0,0.0,2.0,1.0,2.0,1.0,144.35865,-38.07416,4
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,144.70683,-37.89829,1
0.0,0.0,100.0,0.0,1.0,0.0,1.0,1.0,1.0,144.91536,-38.36627,1
0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,141.81592,-37.84433,1
0.0,0.0,70.0,0.0,2.0,0.0,1.0,0.0,3.0,144.32617,-38.19084,0
0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,144.82135,-37.82561,1
0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,141.65803,-38.09057,1
0.0,0.0,50.0,0.0,0.0,1.0,1.0,2.0,0.0,144.43498,-37.67756,2
0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,143.50418,-37.44449,1
0.0,0.0,50.0,0.0,0.0,1.0,1.0,2.0,0.0,145.11485,-37.51413,2
0.0,0.0,100.0,0.0,1.0,0.0,1.0,2.0,0.0,147.58502,-37.84476,1
0.0,0.0,60.0,0.0,0.0,1.0,3.0,1.0,3.0,145.94828,-38.47405,4
0.0,0.0,40.0,0.0,1.0,0.0,6.0,6.0,1.0,144.76027,-37.57149,6
0.0,0.0,60.0,0.0,1.0,0.0,1.0,1.0,1.0,144.29075,-36.74978,4
0.0,0.0,70.0,1.0,0.0,0.0,1.0,2.0,0.0,144.35188,-38.12761,0
0.0,0.0,100.0,0.0,0.0,1.0,2.0,1.0,2.0,145.21425,-37.85397,1
0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,145.10794,-37.88672,1
0.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,2.0,144.948,-37.52582,1
